name,win_rate,pick_rate,ban_rate,meta_score,tier
Chicha,51.28%,2.00%,5.36%,59.22117681979543,A
妲己,51.19%,2.72%,3.15%,58.14283629411768,A
ミレディ,49.04%,1.69%,4.61%,53.47897473401271,B
大司命,47.12%,1.15%,5.66%,49.77819117191111,C
アンジェラ,50.58%,2.26%,2.10%,55.61967702098124,A
后羿,48.87%,2.76%,0.20%,51.28849145553089,B
張良,51.19%,0.93%,3.62%,55.28557939603442,A
李信,52.74%,2.11%,0.87%,59.60330288019087,A
マルコ・ポーロ,50.94%,2.26%,0.47%,55.17407202511895,A
東皇太一,49.14%,0.81%,3.22%,50.572853547722474,B
孫尚香,48.92%,2.32%,0.11%,50.95574858586009,B
瑶,47.18%,1.62%,1.26%,47.72177214835354,C
白龍,45.73%,1.24%,1.94%,45.260815974235385,C
小喬,48.72%,2.09%,0.14%,50.31822712140366,B
蔡文姫,50.77%,1.41%,1.35%,53.79323813098131,B
虞美人,53.05%,1.89%,0.20%,59.55306188524026,A
王昭君,50.09%,1.75%,0.28%,52.37543573903392,B
墨子,50.08%,1.23%,1.25%,51.83009599633999,B
エリン,52.12%,1.69%,0.18%,56.71015211420865,A
孔明,49.13%,1.58%,0.35%,50.192736043659494,B
魯班7号,50.04%,1.67%,0.13%,51.984544099449,B
少司縁,47.99%,1.19%,0.97%,47.720038791531856,C
ドリア,45.45%,1.51%,0.33%,44.36384826685655,D
孫悟空,50.19%,1.52%,0.26%,52.03045755292155,B
伽羅,54.25%,1.47%,0.25%,62.10828973141196,S
瀾,49.79%,1.13%,0.92%,50.76475956088413,B
女媧,52.43%,1.10%,0.54%,56.326209002503134,A
阿軻,52.93%,0.69%,1.35%,57.417009327692135,A
甄姫,51.99%,1.33%,0.07%,55.43615060127206,A
カイザー,50.74%,1.30%,0.11%,52.52383009744333,B
ルナ,48.51%,0.72%,1.24%,47.80702672980649,C
大喬,48.98%,0.99%,0.65%,48.71924077680438,C
西施,49.53%,1.05%,0.45%,49.723964422505254,C
宮本武蔵,50.45%,1.15%,0.24%,51.63851652530463,B
ミーユエ,49.99%,0.78%,0.82%,50.34582201662392,B
夏侯惇,49.07%,1.10%,0.18%,48.77870652605675,C
荘子,50.64%,0.72%,0.89%,51.634992407057425,B
