Japanese,English
バイロン,biron
アーサー,arthur
達磨,dharma
姫小満,mayene
シャルロット,charlotte
関羽,guanyu
ムーラン,mulan
孔子,fuzi
李信,lixin
劉邦,liubang
呂布,lubu
ナタク,nezha
孫策,sunce
夏侯惇,dun
項羽,xiangyu
楊戩,yangjian
アレン,allain
鐘無艶,wuyan
アンジェラ,angela
扁鵲,drbian
不知火舞,maishiranui
ハイノ,heino
妲己,daji
貂蝉,diaochan
干将・莫耶,gan&mo
漸離,gao
太公望,ziya
ミレディ,milady
女媧,nuwa
上官婉児,shangguan
王昭君,princessfrost
小喬,xiaoqiao
張良,liang
甄姫,ladyzhen
周瑜,zhouyu
エリン,erin
白龍,loong
百里守約,shouyue
ルアンナ,luara
仁傑,direnjie
伽羅,garo
公孫離,arli
后羿,houyi
黄忠,huangzhong
李元芳,fang
魯班7号,lubanno7
マルコ・ポーロ,marcopolo
アレッシオ,alessio
蒙牙,mengya
孫尚香,ladysun
虞美人,consortyu
孫悟空,wukong
孔明,kongming
アグド,agudo
大司命,augran
バタフライ,butterfly
ユンエイ,ying
典韋,dianwei
宮本武蔵,musashi
韓信,hanxin
鏡,jing
橘右京,ukyotachibana
モンキ,menki
カイザー,kaizer
蘭陵王,princeoflanling
李白,libai
劉備,liubei
ルナ,luna
瀾,lam
ナコルル,nakoruru
タイガー,pei
司馬懿,simayi
アテナ,athena
楊貴妃,yuhuan
曜,yao
雲中君,cirrus
趙雲,zilong
アタ,ata
劉禅,liushan
蔡文姫,caiyan
少司縁,dyadia
大喬,daqiao
東皇太一,donghuang
鬼谷子,guiguzi
廉頗,lianpo
ドリア,dolia
明世隠,ming
墨子,mozi
孫臏,sunbin
瑶,yaria
張飛,zhangfei
鐘馗,kui
荘子,zhuangzi
西施,shi
ミーユエ,miyue
棋星,yixing
百里玄策,xuance
阿軻,arke
啓,sakeer
ハロルド,feyd
